service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20140106,20140504
2,0,0,0,0,0,1,0,20140106,20140504
3,0,0,0,0,0,0,1,20140106,20140504
2201,0,0,0,0,0,0,0,20140106,20140504
2301,0,0,0,0,0,0,0,20140106,20140504
201,0,0,0,0,0,0,0,20140106,20140504
2401,0,0,0,0,0,0,0,20140106,20140504
6401,0,0,0,0,0,0,0,20140106,20140504
2402,0,0,0,0,0,0,0,20140106,20140504
2403,0,0,0,0,0,0,0,20140106,20140504
