route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
5525,1,472206,1 LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,316522,39113
5525,1,472246,1 LIVINGSTON TO COUNTRY CLUB,0,316505,39107
5525,1,472171,1 LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,316506,39113
5525,1,472172,1 LIVINGSTON TO COUNTRY CLUB,0,316509,39112
5525,1,472173,1 LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,316510,39108
5525,1,472174,1 LIVINGSTON TO COUNTRY CLUB,0,316511,39112
5525,1,472183,1 LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,316516,39113
5525,1,472175,1 LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,316503,39108
5525,1,472223,1 LIVINGSTON TO COUNTRY CLUB,0,316531,39112
5525,1,472176,1 LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,316512,39113
5525,1,472177,1 LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,316513,39113
5525,1,472224,1 LIVINGSTON TO COUNTRY CLUB,0,316515,39112
5525,1,472178,1 LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,316502,39113
5525,1,472247,1 LIVINGSTON TO COUNTRY CLUB,0,316519,39109
5525,1,472248,1 LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,316514,39110
5525,1,472166,1 LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,316504,39110
5525,1,472167,1 LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,316505,39110
5525,1,472168,1 LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,316506,39110
5525,1,472179,1 LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,316511,39110
5525,1,472180,1 LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,316512,39110
5525,1,472181,1 LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,316514,39110
5525,1,472249,1 CLEVELAND TO NORTHERN LIGHTS,1,316515,39124
5525,1,472250,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316528,39125
5525,1,472316,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316520,39126
5525,1,472317,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316532,39121
5525,1,472318,1 CLEVELAND TO NORTHERN LIGHTS,1,316517,39123
5525,1,472319,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316522,39121
5525,1,472320,1 CLEVELAND TO NORTHERN LIGHTS,1,316512,39118
5525,1,472321,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316529,39121
5525,1,472322,1 CLEVELAND TO NORTHERN LIGHTS,1,316523,39118
5525,1,472323,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316524,39122
5525,1,472324,1 CLEVELAND TO NORTHERN LIGHTS,1,316513,39118
5525,1,472325,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316515,39121
5525,1,472326,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316505,39121
5525,1,472314,1 CLEVELAND TO NORTHERN LIGHTS,1,316578,39118
5525,1,472288,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316525,39122
5525,1,472289,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316518,39122
5525,1,472312,1 CLEVELAND TO NORTHERN LIGHTS,1,316509,39118
5525,1,472290,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316519,39121
5525,1,472265,1 CLEVELAND TO NORTHERN LIGHTS,1,316507,39123
5525,1,472261,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316510,39121
5525,1,472309,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316527,39121
5525,1,472262,1 CLEVELAND TO NORTHERN LIGHTS,1,316517,39118
5525,1,472263,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316511,39121
5525,1,472266,1 CLEVELAND TO NORTHERN LIGHTS,1,316520,39123
5525,1,472268,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316512,39121
5525,1,472267,1 CLEVELAND TO WESTERVILLE PARK AND RIDE,1,316502,39120
5525,1,472269,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316523,39121
5525,1,472264,1 CLEVELAND TO NORTHERN LIGHTS,1,316513,39118
5525,1,472291,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316526,39122
5525,1,472292,1 CLEVELAND TO NORTHERN LIGHTS,1,316578,39118
5525,1,472293,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316522,39122
5525,1,472294,1 CLEVELAND TO NORTHERN LIGHTS,1,316524,39118
5525,1,472329,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316509,39122
5525,1,472295,1 CLEVELAND TO NORTHERN LIGHTS,1,316515,39118
5525,1,472296,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316507,39122
5525,1,472328,1 CLEVELAND TO NORTHERN LIGHTS,1,316525,39118
5525,1,472297,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316505,39122
5525,1,472298,1 CLEVELAND TO NORTHERN LIGHTS,1,316519,39118
5525,1,472299,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316520,39122
5525,1,472327,1 CLEVELAND TO NORTHERN LIGHTS,1,316527,39118
5525,1,472300,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316510,39122
5525,1,472301,1 CLEVELAND TO NORTHERN LIGHTS,1,316511,39118
5525,1,472302,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316513,39122
5525,1,472330,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316502,39121
5525,1,472282,1 CLEVELAND TO NORTHERN LIGHTS,1,316512,39123
5525,1,472259,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316523,39121
5525,1,472303,1 CLEVELAND TO NORTHERN LIGHTS,1,316524,39123
5525,1,472304,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316526,39121
5525,1,472305,1 CLEVELAND TO NORTHERN LIGHTS,1,316515,39123
5525,2201,472334,1 CLEVELAND TO NORTHERN LIGHTS,1,316534,39127
5525,1,472306,1 CLEVELAND TO POLARIS PARKWAY AND AFRICA ROAD,1,316522,39121
5525,1,472307,1 CLEVELAND TO NORTHERN LIGHTS,1,316525,39123
